points   maxTile
2448     256
2524     256
3444     256
1368     128
2060     256
1604     128
1228     128
3148     256
2076     128
2908     256
3144     256
1272     128
3812     256
6304     512
892     64
1340     128
2036     128
1092     128
2240     256
3148     256
4832     512
6680     512
1376     128
3232     256
2124     256
1212     128
4800     512
2852     256
2944     256
4328     256
3000     256
2456     256
5224     512
3184     256
1012     128
1260     128
3376     256
2024     128
2932     256
1380     128
4728     512
4248     512
2648     256
1484     128
6980     512
2096     256
1088     128
1844     128
1516     128
5100     512
2384     256
2992     256
1636     128
2520     256
3628     256
2812     256
1332     128
4476     256
1420     128
2812     256
2216     256
3028     256
1192     128
5936     512
5628     512
4760     512
2952     256
2580     256
1084     64
1896     128
5736     512
2064     128
4536     512
2192     256
3152     256
6996     512
1568     128
3744     256
1776     128
2004     128
524     64
1796     128
5084     512
4308     512
3752     256
2520     256
740     64
2488     256
2760     256
3612     256
1904     256
6700     512
4216     256
668     64
2400     256
5812     512
1972     128
3088     256
2432     256
3736     256
2704     256
1184     128
2568     256
1736     128
1900     128
2244     256
4972     512
4996     512
3464     256
2540     256
2524     256
2708     256
2984     256
1156     128
4464     512
2396     256
3000     256
3076     256
3116     256
2416     256
4496     512
3080     256
2548     256
6376     512
7568     512
1436     128
2088     256
2820     256
2068     256
1216     128
3600     256
2864     256
2720     128
1976     128
2884     256
6684     512
5952     512
5220     512
1560     128
4468     512
4316     512
2740     256
5332     512
3888     256
1788     128
5308     512
4748     512
2212     256
3456     256
1300     128
1476     128
2296     256
4824     512
3880     256
4460     512
3160     256
3392     256
4456     512
3180     256
3164     256
2748     256
1968     256
2880     256
2752     256
4288     512
2308     256
2420     256
2252     256
6624     512
3168     256
2248     256
5236     512
4164     512
1028     64
3320     256
2948     256
1564     128
3280     256
4976     512
924     128
3608     256
1700     128
2480     256
2436     256
1552     128
2620     256
2316     256
3084     256
1876     128
2136     256
3036     256
2900     256
3092     256
6024     512
2832     256
3588     256
3124     256
2856     256
2044     256
2196     256
2268     256
2232     256
4116     256
2564     256
1372     128
1128     128
1828     128
3732     256
2380     256
1456     128
2880     256
3660     256
3212     256
2832     256
1972     128
2868     256
3460     256
1976     256
3208     256
2212     256
4648     512
2856     256
6628     512
1152     128
4788     512
2864     256
6340     512
3092     256
3300     256
5116     512
3024     256
3428     256
2192     128
3080     256
2232     256
2828     256
4376     512
2900     256
2292     256
2388     128
4440     512
2940     256
2132     256
1516     128
4372     512
5148     512
3412     256
2412     256
4868     512
5252     512
2916     256
5312     512
6756     512
2500     256
10108     1024
4952     512
4444     512
4196     256
1704     128
1128     128
1672     128
2568     256
4940     512
2304     256
1544     128
3032     256
5092     512
2772     256
6148     512
1288     128
4596     512
3272     256
5240     512
2888     256
3020     256
3444     256
2224     128
3740     256
3060     256
1356     128
2916     256
2288     256
1212     128
3100     256
1192     128
3752     256
2392     256
1616     128
1732     128
4532     512
1044     128
8904     512
3632     256
1180     64
3480     256
2980     256
4652     512
3536     256
4748     512
1852     128
3176     256
3348     256
2812     256
1200     128
1664     128
1336     128
1716     128
4396     512
1864     128
2652     256
5608     512
2732     256
1424     128
1584     128
2040     256
4176     256
3180     256
5368     512
2040     256
2892     256
2580     256
5716     512
3668     256
3936     256
3008     256
2368     128
2384     256
1980     256
3636     256
4292     512
2596     256
2648     256
1532     128
2428     256
912     64
2552     256
5080     512
2496     256
3164     256
4376     512
1196     128
3004     256
9224     1024
1916     128
1416     128
1800     128
1524     128
2852     256
1940     256
3076     256
2472     256
1268     128
2920     256
2064     128
1420     128
2556     256
4584     512
1108     128
2928     256
3528     256
3492     256
1924     256
3012     256
2004     128
2124     128
2224     256
2336     256
2908     256
4824     512
4016     256
1172     128
2144     256
6452     512
2392     256
5204     512
3360     256
1336     128
2820     256
3292     256
7064     512
4948     512
1848     128
1632     128
7100     512
1840     128
3036     256
3144     256
2812     256
1408     128
1288     128
1632     128
2724     256
3540     256
5144     512
3088     256
2828     256
2404     256
1212     128
1652     128
3360     256
2924     256
2828     256
3740     256
2744     256
3144     256
6132     512
1116     64
2776     256
752     64
5652     512
2736     256
3512     256
1468     128
4496     512
4100     256
3500     256
2256     256
3068     256
1876     128
4508     512
2140     128
1440     128
2980     256
2992     256
5316     512
1256     128
2032     128
2948     256
1180     128
1532     128
3192     256
3280     256
2972     256
5000     512
1476     128
2248     128
2800     256
6560     512
1496     128
5016     512
2396     256
4328     512
5360     512
2328     256
3880     256
1992     128
3008     256
2332     128
4412     512
4924     512
2928     256
3448     256
3488     256
1784     128
6312     512
2320     256
4476     512
2216     256
5344     512
2984     256
1936     128
4732     512
6568     512
4952     512
3088     256
3300     256
1212     128
5592     512
2632     256
2028     128
3852     256
2972     256
1476     128
3092     256
2252     256
1928     128
2228     256
956     64
2268     128
3312     256
6636     512
1508     128
1036     64
3928     256
4208     256
2896     256
2548     256
2788     256
2584     256
2444     256
1992     128
6756     512
6572     512
2608     256
5196     512
3068     256
2944     256
5204     512
1696     128
1700     128
7404     512
5944     512
4276     512
2696     128
2368     256
1020     64
3660     256
6032     512
3208     256
3096     256
5724     512
5604     512
2176     256
2184     256
3620     256
3804     256
3120     256
1672     128
2416     256
1400     128
1564     128
2876     256
2688     256
